Yes/No,Site,Site Code,City,Country/Region,State/Province,ZIP/Postal Code,3 Digit Zip
,GONZABA MEDICAL GROUP MAIN-721,0019058004,SAN ANTONIO,USA,TX,78238,782
,GONZALES FOOD MARKET-311 ST. L,0019059001,GONZALES,USA,TX,78629,786
,GONZALES PROPERTIES-3850 CULEB,0019059002,SAN ANTONIO,USA,TX,78228,782
,GONZALEZ BROTHERS BATCH PLANT,0010479695,GUNTER,USA,TX,75058,750
,GONZALEZ DE CASTILLA-11929 SAR,0019059003,LAREDO,USA,TX,78045,780
,GOOD SHEPHERD TRAVEL,0010480097,BURLESON,USA,TX,76028,760
,GOODYEAR 183443  INDEPENDENT-7,0019060001,PEARLAND,USA,TX,77581,775
,GORDITAS AGUASCALIENTIES-6102,0019062001,HOUSTON,USA,TX,77081,770
,GOUD STEWARD ADVISORS-26310 OA,0019061001,SPRING,USA,TX,77380,773
,GOV SVC BRUE,0070305744,FRISCO,USA,TX,75035,750
,GOV SVC DIR MAJKA (US),0070302838,SAN ANTONIO,USA,TX,78216,782
,GR AUTO SALES LLC,0010480789,DENTON,USA,TX,76205,762
,GRACE AND TRUTH CHURCH,0010479916,DALLAS,USA,TX,75227,752
